"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\overlayer\BarChartOverlayStrategy.java", "Java", 45, 0, 14, 59
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\overlayer\DiagramOverlayStrategy.java", "Java", 221, 2, 76, 299
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\overlayer\DiagramOverlayer.java", "Java", 62, 0, 19, 81
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\overlayer\FunctionGraphOverlayStrategy.java", "Java", 74, 0, 24, 98
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\overlayer\HistogramOverlayStrategy.java", "Java", 55, 0, 18, 73
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\type\BarChart.java", "Java", 12, 0, 3, 15
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\type\Diagram.java", "Java", 165, 0, 45, 210
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\type\FunctionGraph.java", "Java", 12, 0, 3, 15
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\type\HeatMap.java", "Java", 12, 0, 3, 15
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\diagrams\type\Histogram.java", "Java", 12, 0, 3, 15
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\representation\CellImageGenerator.java", "Java", 73, 12, 10, 95
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\representation\CellPanel.java", "Java", 356, 46, 74, 476
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\representation\DataPanel.java", "Java", 108, 25, 23, 156
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\representation\ICellImageGenerator.java", "Java", 5, 8, 5, 18
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\representation\LibraryComparePanel.java", "Java", 87, 9, 23, 119
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\representation\LibraryPanel.java", "Java", 85, 19, 21, 125
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\representation\PinComparePanel.java", "Java", 93, 12, 13, 118
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\view\representation\PinCompareSubPanel.java", "Java", 129, 27, 21, 177
"Total", "-", 12211, 1844, 2777, 16832
